cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire
DCPADH,2966,CHLORTHAL-DIMÉTHYL,Chlorthal-diméthyl,1861-32-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPITET,7506,SPIROTETRAMAT,Spirotetramat,203313-25-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZIMSUL,2937,AZIMSULFURON,Azimsulfuron,120162-55-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBIL,1659,TERBACILE,Terbacile,5902-51-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MVPH,1226,MÉVINPHOS,Mévinphos,7786-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DLL,1156,DIALLATE,Diallate,2303-16-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BRPH,1124,BROMOPHOS MÉTHYL,Bromophos méthyl,2104-96-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CAPT,1128,CAPTANE,Captane,0133-06-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PENOXU,6394,PENOXSULAM,Penoxsulam,219714-96-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DSYST,1492,DISYSTON,Disyston,0298-04-04,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHOSMET,1971,PHOSMET,Phosmet,0732-11-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHENM,1236,PHENMÉDIPHAME,Phenmédiphame,13684-63-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DNOCP,5619,DINOCAP,Dinocap,39300-45-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZIN,1111,AZINPHOS MÉTHYL,Azinphos méthyl,86-50-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DMTSM,1153,DEMETON S MÉTHYL,Demeton S méthyl,919-86-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRCYCLA,2898,TRICYCLAZOLE,Tricyclazole,41814-78-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
UNCAZ,7482,UNICONAZOLE,Uniconazole,83657-22-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETOF,5624,ETOFENPROX,Etofenprox,80844-07-01,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENCL,1186,FENCHLORPHOS,Fenchlorphos,299-84-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PZP,1258,PYRAZOPHOS,Pyrazophos,13457-18-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIMOX,5748,DIMOXYSTROBINE,Dimoxystrobine,149961-52-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IMAZAQU,2860,IMAZAQUINE,Imazaquine,81335-37-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLURPRI,2024,FLURPRIMIDOL,Flurprimidol,56425-91-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TBZMETA,6283,TERBUTHYLAZIN ET SES MÉTABOLITES,Terbuthylazin et ses métabolites,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SMETOLA,2974,S-MÉTOLACHLORE,S-Métolachlore,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PICONA,5665,PICOLINAFEN,Picolinafen,137641-05-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZAMETI,2015,AZAMÉTIPHOS,Azamétiphos,35575-96-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SILTF,5609,SILTHIOFAM,Silthiofam,175217-20-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BRMTH,1502,BIORESMETHRINE,Bioresmethrine,28434-01-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BROMOE,1123,BROMOPHOS ÉTHYL,Bromophos éthyl,4824-78-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPTP,1533,PROPÉTAMPHOS,Propétamphos,31218-83-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
EPTC,1182,EPTC,EPTC,759-94-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHRT,1525,PHORATE,Phorate,0298-02-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IPCONA,7508,IPCONAZOLE,Ipconazole,125225-28-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HALOXYR,1909,HALOXYFOP-MÉTHYL (R),Haloxyfop-méthyl (R),72619-32-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TLFND,1719,TOLYLFLUANIDE,Tolylfluanide,731-27-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IOXYM,2871,IOXYNIL-MÉTHYL,Ioxynil-méthyl,3336-40-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLMP,1134,CHLORMÉPHOS,Chlorméphos,24934-91-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DICOUM,2982,DIFENACOUM,Difenacoum,56073-07-05,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
COUMATE,2019,COUMATÉTRALYL,Coumatétralyl,5836-29-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPHM,1534,PROPHAME,Prophame,122-42-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
COUMAF,2972,COUMAFÈNE,Coumafène,81-81-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TRZPH,1657,TRIAZOPHOS,Triazophos,24017-47-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DILONE,2983,DIFETHIALONE,Difethialone,104653-34-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HEPTENO,1910,HEPTÉNOPHOS,Hepténophos,23560-59-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCPP,2544,DICHLORPROP-P,Dichlorprop-P,15165-67-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISOXADI,2807,ISOXADIFEN-ÉTHYLE,Isoxadifen-éthyle,163520-33-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OFURACE,2027,OFURACE,Ofurace,58810-48-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TTDIFON,1900,TETRADIFON,Tetradifon,116-29-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEPRONI,1878,MÉPRONIL,Mépronil,55814-41-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRPF,5499,PYRIPROXYFEN,Pyriproxyfen,95737-68-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FURATHI,2567,FURATHIOCARBE,Furathiocarbe,65907-30-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OXDG,2068,OXADIARGYL,Oxadiargyl,39807-15-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISPV,1829,ISOFENVOS,Isofenvos,25311-71-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
LUFENUR,2026,LUFÉNURON,Lufénuron,103055-07-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BUPROFZ,1862,BUPROFÉZINE,Buprofézine,69327-76-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
COUM,1682,COUMAPHOS,Coumaphos,56-72-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IODOFEN,2025,IODOFENPHOS,Iodofenphos,18181-70-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PPCBS,5602,PROPOXYCARBAZONE-SODIUM,Propoxycarbazone-sodium,181274-15-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CBPT,1131,CARBOPHÉNOTION,Carbophénotion,786-19-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FVAL,1701,FENVALÉRATE,Fenvalérate,51630-58-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TEDP,1894,SULFOTEPP,Sulfotepp,3689-24-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROFENO,1889,PROFÉNOFOS,Profénofos,41198-08-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLUAZPB,1404,FLUAZIFOP-P-BUTYL,Fluazifop-P-butyl,79241-46-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
NITROF,1229,NITROFÈNE,Nitrofène,1836-75-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FENOB,5763,FENOBUCARBE,Fenobucarbe,3766-81-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CHLFLUA,2950,CHLORFLUAZURON,Chlorfluazuron,71422-67-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
METIL,1698,DIMÉTILAN,Dimétilan,644-64-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ROTENON,2029,ROTÉNONE,Roténone,83-79-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETHIOPH,1874,ETHIOPHENCARBE,Ethiophencarbe,29973-13-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CINOSUL,5481,CINOSULFURON,Cinosulfuron,94593-91-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETXSUL,5527,ETHOXYSULFURON,Ethoxysulfuron,126801-58-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BENSULH,5512,BENSULFURON-METHYL,Bensulfuron-methyl,83055-99-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMITZ,1308,AMITRAZE,Amitraze,33089-61-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
643PYRD,6358,PYRIDAFOL,Pyridafol,40020-01-07,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIFXUR,5524,DIFENOXURON,Difenoxuron,14214-32-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MEFLUID,2568,MÉFLUIDIDE,Méfluidide,53780-34-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SEDAX,7724,SEDAXANE,Sedaxane,874967-67-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SFOMTH,5507,SULFOMETHURON-METHYL,Sulfomethuron-methyl,74222-97-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLRMTH,5522,CHLORIMURON-ETHYL,Chlorimuron-ethyl,90982-32-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRAZET,6386,PYRAZOSULFURON ÉTHYL,Pyrazosulfuron éthyl,93697-74-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DAIMURO,5930,DAIMURON,Daimuron,42609-52-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETHAMH,5529,ETHAMETSULFURON-METHYL,Ethametsulfuron-methyl,97780-06-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HASULM,5508,HALOSULFURON-METHYL,Halosulfuron-methyl,100784-20-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
OXSULFH,5510,OXASULFURON,Oxasulfuron,144651-06-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FCLURO,5969,FORCHLORFENURON,Forchlorfenuron,68157-60-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
IMBCAZ,7510,IMIBENCONAZOLE,Imibenconazole,86598-92-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ETRIM,5760,ETRIMFOS,Etrimfos,38260-54-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CHLORB,1336,CHLORBUFAME,Chlorbufame,1967-16-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ACP,1100,ACÉPHATE,Acéphate,30560-19-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
METHACR,5792,MÉTHACRIFOS,Méthacrifos,62610-77-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRAZXF,6530,PYRAZOXYFEN,Pyrazoxyfen,71561-11-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ASM,5581,ACIBENZOLAR S MÉTHYL,Acibenzolar s méthyl,135158-54-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTHDP,1671,MÉTHAMIDOPHOS,Méthamidophos,10265-92-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MCPPP,2084,MÉCOPROP-P,Mécoprop-p,16484-77-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ABATE,1898,TÉMÉPHOS,Téméphos,3383-96-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPINOA,7438,SPINOSYNE A,Spinosyne A,131929-60-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
SPINOD,7439,SPINOSYNE D,Spinosyne D,131929-63-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DAMZD,5597,DAMINOZIDE,Daminozide,1596-84-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BCYFLTH,3209,BETACYFLUTHRINE,Betacyfluthrine,68359-37-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PHENTHO,5813,PHENTOATE,Phentoate,07/03/2597,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
QUINO,7723,QUINOCLAMINE,Quinoclamine,2797-51-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CPT,1127,CAPTAFOL,Captafol,01/06/2425,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AZODRIN,1880,MONOCROTOPHOS,Monocrotophos,6923-22-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ATRATN,5698,ATRATON,Atraton,1610-17-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TOLM,5675,TOLCLOFOS-METHYL,Tolclofos-methyl,57018-04-09,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLTHIO,5723,CHLORTHIOPHOS,Chlorthiophos,60238-56-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DODINE,2933,DODINE,Dodine,03/10/2439,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MTFEN,5511,METHOXYFENOSIDE,Methoxyfenoside,161050-58-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BENSLD,6595,BENSULIDE,Bensulide,741-58-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PRETILA,1949,PRETILACHLORE,Pretilachlore,51218-49-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
24DIE,2872,"2,4-D-ISOPROPYL ESTER","2,4-D-isopropyl ester",94-11-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMETO,7842,AMETOCTRADINE,Ametoctradine,865318-97-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BRPPL,1685,BROMOPROPYLATE,Bromopropylate,18181-80-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DIOXA,5743,DIOXACARBE,Dioxacarbe,6988-21-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROQUI,7422,PROQUINAZID,Proquinazid,189278-12-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DEHAME,2980,DESMEDIPHAME,Desmediphame,13684-56-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
FLAMPM,6539,FLAMPROP-MÉTHYL,Flamprop-méthyl,52756-25-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
MIR,5438,MIREX,Mirex,2385-85-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ATRZMET,6282,ATRAZINE ET SES MÉTABOLITES,Atrazine et ses métabolites,,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISAZO,1976,ISAZOPHOS,Isazophos,42509-80-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
TCBAZ,5922,TIOCARBAZIL,Tiocarbazil,36756-79-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PROME,1710,PROMÉCARBE,Promécarbe,2631-37-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
HYMEX,5646,HYMEXAZOL,Hymexazol,10004-44-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMINP,7580,AMINOPYRALID,Aminopyralid,150114-71-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLRNB,1341,CHLORONEB,Chloroneb,2675-77-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DICRO,5525,DICROTOPHOS,Dicrotophos,141-66-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BUTIL,7038,BUTILATE,Butilate,2008-41-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYCLOA,5568,CYCLOATE,Cycloate,1134-23-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PIPERO,5819,PIPEROPHOS,Piperophos,24151-93-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ANILO,6594,ANILOPHOS,Anilophos,64249-01-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYDAP,5606,PYRIDAPHENTHION,Pyridaphenthion,119-12-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ISOPC,5781,ISOPROCARB,Isoprocarb,2631-40-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CYHABU,5569,CYHALOFOP BUTYL,Cyhalofop butyl,122008-85-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
BENVCI,7460,BENTHIAVALICARBE-ISOPROPYL,Benthiavalicarbe-isopropyl,177406-68-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
ZCYINE,7521,ZETACYPERMETHRINE,Zetacypermethrine,97955-44-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
NALED,1516,NALED,Naled,300-76-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
DCLFNFD,1360,DICHLOFLUANIDE,Dichlofluanide,1085-98-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
PYRETHR,2062,PYRÉTHRINE,Pyréthrine,8003-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
QUIZPE,6637,QUIZALOFOP-P-ÉTHYL,Quizalofop-p-éthyl,100646-51-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
AMINC,5523,AMINOCARBE,Aminocarbe,2032-59-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
CLAN,1132,CHLORDANE,Chlordane,57-74-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,,,,
